Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-07-14,5.0,6.18,4.43,4.75,4.75,6621700,0.0,0.0
2021-07-15,4.51,5.88,4.31,5.2,5.2,8376400,0.0,0.0
2021-07-16,4.96,5.3,4.68,4.77,4.77,1643100,0.0,0.0
2021-07-19,4.68,5.15,4.2,4.88,4.88,1298300,0.0,0.0
2021-07-20,4.89,5.263,4.642,5.03,5.03,1116800,0.0,0.0
2021-07-21,4.87,5.17,4.53,4.53,4.53,954100,0.0,0.0
2021-07-22,4.54,5.0,4.42,4.79,4.79,640400,0.0,0.0
2021-07-23,4.71,4.79,4.2,4.38,4.38,651000,0.0,0.0
2021-07-26,4.36,4.59,3.86,4.08,4.08,607100,0.0,0.0
2021-07-27,3.94,4.131,3.75,3.92,3.92,355400,0.0,0.0
2021-07-28,3.88,3.9,3.61,3.75,3.75,347400,0.0,0.0
2021-07-29,3.76,4.0,3.672,3.89,3.89,569700,0.0,0.0
2021-07-30,3.85,4.37,3.773,3.92,3.92,885500,0.0,0.0
2021-08-02,3.99,4.74,3.99,4.19,4.19,507300,0.0,0.0
2021-08-03,4.14,4.27,4.02,4.04,4.04,263000,0.0,0.0
2021-08-04,4.02,4.17,3.91,3.97,3.97,138300,0.0,0.0
2021-08-05,3.939,4.174,3.905,4.03,4.03,141500,0.0,0.0
2021-08-06,4.08,4.36,4.03,4.22,4.22,797600,0.0,0.0
2021-08-09,4.15,4.5,4.15,4.43,4.43,332200,0.0,0.0
2021-08-10,4.49,4.89,4.009,4.05,4.05,1891200,0.0,0.0
2021-08-11,4.0,4.211,3.9,3.96,3.96,704500,0.0,0.0
2021-08-12,4.0,4.14,3.94,4.015,4.015,168600,0.0,0.0
2021-08-13,4.02,4.11,3.81,3.92,3.92,177700,0.0,0.0
2021-08-16,3.97,3.97,3.515,3.54,3.54,163800,0.0,0.0
2021-08-17,3.52,3.56,3.22,3.45,3.45,224400,0.0,0.0
2021-08-18,3.41,3.61,3.16,3.35,3.35,623800,0.0,0.0
2021-08-19,3.17,3.49,3.13,3.45,3.45,535300,0.0,0.0
2021-08-20,3.38,3.46,3.22,3.42,3.42,123200,0.0,0.0
2021-08-23,3.41,3.96,3.24,3.57,3.57,1593300,0.0,0.0
2021-08-24,3.62,3.62,3.283,3.35,3.35,303500,0.0,0.0
2021-08-25,3.326,3.59,3.26,3.43,3.43,410600,0.0,0.0
2021-08-26,3.4,3.68,3.4,3.6,3.6,1017500,0.0,0.0
2021-08-27,3.6,3.72,3.42,3.45,3.45,351000,0.0,0.0
2021-08-30,3.44,3.57,3.35,3.41,3.41,253700,0.0,0.0
2021-08-31,3.48,3.6,3.46,3.6,3.6,173300,0.0,0.0
2021-09-01,3.65,3.65,3.473,3.52,3.52,156100,0.0,0.0
2021-09-02,3.578,3.65,3.48,3.49,3.49,129700,0.0,0.0
2021-09-03,3.54,3.61,3.47,3.5,3.5,143600,0.0,0.0
2021-09-07,3.52,3.56,3.45,3.49,3.49,100500,0.0,0.0
2021-09-08,3.46,3.54,3.19,3.28,3.28,334000,0.0,0.0
2021-09-09,3.33,3.43,3.15,3.23,3.23,425100,0.0,0.0
